warehouse2 Report

id	good_id	good_count	
1	52	11	
2	53	12	
3	54	13	
4	55	14	
5	56	15	
6	57	16	
7	58	17	
8	59	18	
10	61	5	
11	62	6	
12	63	7	
13	64	8	
14	65	9	
15	66	10	
16	67	11	
17	68	12	
18	69	13	
19	70	14	
20	71	15	
21	72	16	
22	73	17	
23	74	18	
24	75	19	
25	76	5	
26	77	6	
27	78	7	
28	79	8	
29	80	9	
30	81	10	
31	82	11	
32	83	12	
33	84	13	
34	85	14	
35	86	15	
36	87	16	
37	88	17	
38	89	18	
39	90	19	
40	91	5	
41	92	6	
42	93	7	
43	94	8	
44	95	9	
45	96	10	
46	97	11	
47	98	12	
48	99	13	
49	100	14	
50	1	15	
51	60	19	
53	60	19	
54	60	19	
55	60	19	
56	60	19	
57	60	19	
58	60	19	
59	60	19	
9	99	9	
